check,status,notes
CEFR band clear,PASS,Checked before Moodle HTML build
Micro-band clear,PASS,Checked before Moodle HTML build
Can-do appropriate,PASS,Checked before Moodle HTML build
New KP allowed,PASS,Checked before Moodle HTML build
Review KP marked,PASS,Checked before Moodle HTML build
Blocked KP avoided,PASS,Checked before Moodle HTML build
Vocabulary load controlled,PASS,Checked before Moodle HTML build
Input length appropriate,PASS,Checked before Moodle HTML build
Output length appropriate,PASS,Checked before Moodle HTML build
Practice items mapped to KP,PASS,Checked before Moodle HTML build
Watch difficulty appropriate,PASS,Checked before Moodle HTML build
Project difficulty appropriate,PASS,Checked before Moodle HTML build
Repair path aligned,PASS,Checked before Moodle HTML build
Portfolio evidence clear,PASS,Checked before Moodle HTML build
