filename,image_id,course,unit,lesson,image_type,characters,style,generation_size,aspect_ratio,display_width,kp_link,quiz_link,text_in_image,alt_text,expandable,safety_check,clothing_check,political_check,notes
AEW2_U008_IMG01_cover_body_move_quest.png,IMG01,Adventure English World V2,8,Cover,cover,Leo; Mia; Emma; Toto as applicable,Adventure semi-realistic children coursebook,1672x941,16:9,70-100%,body parts; Touch your …; my/your as fixed chunks,mapped in question_bank.csv,cover title only,Unit 8 IMG01 learning visual,yes,passed,passed,passed,Generated and locked for Unit 8.
AEW2_U008_IMG02_lesson1_body_clue_start.png,IMG02,Adventure English World V2,8,Lesson 1,learning visual,Leo; Mia; Emma; Toto as applicable,Adventure semi-realistic children coursebook,1672x941,16:9,70-100%,body parts; Touch your …; my/your as fixed chunks,mapped in question_bank.csv,none/minimal icons,Unit 8 IMG02 learning visual,yes,passed,passed,passed,Generated and locked for Unit 8.
AEW2_U008_IMG03_lesson1_body_parts_board.png,IMG03,Adventure English World V2,8,Lesson 1,learning visual,Leo; Mia; Emma; Toto as applicable,Adventure semi-realistic children coursebook,1448x1086,4:3,70-100%,body parts; Touch your …; my/your as fixed chunks,mapped in question_bank.csv,none/minimal icons,Unit 8 IMG03 learning visual,yes,passed,passed,passed,Generated and locked for Unit 8.
AEW2_U008_IMG04_lesson1_toto_body_clue.png,IMG04,Adventure English World V2,8,Lesson 1,learning visual,Leo; Mia; Emma; Toto as applicable,Adventure semi-realistic children coursebook,1672x941,16:9,70-100%,body parts; Touch your …; my/your as fixed chunks,mapped in question_bank.csv,none/minimal icons,Unit 8 IMG04 learning visual,yes,passed,passed,passed,Generated and locked for Unit 8.
AEW2_U008_IMG05_lesson2_face_clues.png,IMG05,Adventure English World V2,8,Lesson 2,learning visual,Leo; Mia; Emma; Toto as applicable,Adventure semi-realistic children coursebook,1672x941,16:9,70-100%,body parts; Touch your …; my/your as fixed chunks,mapped in question_bank.csv,none/minimal icons,Unit 8 IMG05 learning visual,yes,passed,passed,passed,Generated and locked for Unit 8.
AEW2_U008_IMG06_lesson2_face_parts_visual.png,IMG06,Adventure English World V2,8,Lesson 2,learning visual,Leo; Mia; Emma; Toto as applicable,Adventure semi-realistic children coursebook,1448x1086,4:3,70-100%,body parts; Touch your …; my/your as fixed chunks,mapped in question_bank.csv,none/minimal icons,Unit 8 IMG06 learning visual,yes,passed,passed,passed,Generated and locked for Unit 8.
AEW2_U008_IMG07_lesson2_touch_face_actions.png,IMG07,Adventure English World V2,8,Lesson 2,learning visual,Leo; Mia; Emma; Toto as applicable,Adventure semi-realistic children coursebook,1672x941,16:9,70-100%,body parts; Touch your …; my/your as fixed chunks,mapped in question_bank.csv,none/minimal icons,Unit 8 IMG07 learning visual,yes,passed,passed,passed,Generated and locked for Unit 8.
AEW2_U008_IMG08_lesson3_touch_your_head.png,IMG08,Adventure English World V2,8,Lesson 3,learning visual,Leo; Mia; Emma; Toto as applicable,Adventure semi-realistic children coursebook,1672x941,16:9,70-100%,body parts; Touch your …; my/your as fixed chunks,mapped in question_bank.csv,none/minimal icons,Unit 8 IMG08 learning visual,yes,passed,passed,passed,Generated and locked for Unit 8.
AEW2_U008_IMG09_lesson3_touch_your_nose.png,IMG09,Adventure English World V2,8,Lesson 3,learning visual,Leo; Mia; Emma; Toto as applicable,Adventure semi-realistic children coursebook,1672x941,16:9,70-100%,body parts; Touch your …; my/your as fixed chunks,mapped in question_bank.csv,none/minimal icons,Unit 8 IMG09 learning visual,yes,passed,passed,passed,Generated and locked for Unit 8.
AEW2_U008_IMG10_lesson3_point_to_your_feet.png,IMG10,Adventure English World V2,8,Lesson 3,learning visual,Leo; Mia; Emma; Toto as applicable,Adventure semi-realistic children coursebook,1672x941,16:9,70-100%,body parts; Touch your …; my/your as fixed chunks,mapped in question_bank.csv,none/minimal icons,Unit 8 IMG10 learning visual,yes,passed,passed,passed,Generated and locked for Unit 8.
AEW2_U008_IMG11_lesson4_my_your_hand.png,IMG11,Adventure English World V2,8,Lesson 4,learning visual,Leo; Mia; Emma; Toto as applicable,Adventure semi-realistic children coursebook,1672x941,16:9,70-100%,body parts; Touch your …; my/your as fixed chunks,mapped in question_bank.csv,none/minimal icons,Unit 8 IMG11 learning visual,yes,passed,passed,passed,Generated and locked for Unit 8.
