item_id,section,lesson,quiz_type,question,answer,distractors,cefr_band,kp_target,lexical_target,skill_target,difficulty_stage,error_type,repair_link,source_ref
AEW2-U011-L1-Q01,Lesson 1,Meet the Weather,mcq,Choose the sunny picture word.,sunny,rainy | windy | cloudy,Pre-A1.2,VOC weather words,sunny,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U011-Repair-WEATHER-01,IMG03/IMG04
AEW2-U011-L1-Q02,Lesson 1,Meet the Weather,mcq,Choose the rainy picture word.,rainy,windy | cloudy | sunny,Pre-A1.2,VOC weather words,rainy,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U011-Repair-WEATHER-01,IMG03/IMG04
AEW2-U011-L1-Q03,Lesson 1,Meet the Weather,mcq,Choose the windy picture word.,windy,cloudy | rainy | sunny,Pre-A1.2,VOC weather words,windy,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U011-Repair-WEATHER-01,IMG03/IMG04
AEW2-U011-L1-Q04,Lesson 1,Meet the Weather,mcq,Choose the cloudy picture word.,cloudy,sunny | rainy | windy,Pre-A1.2,VOC weather words,cloudy,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U011-Repair-WEATHER-01,IMG03/IMG04
AEW2-U011-L1-Q05,Lesson 1,Meet the Weather,matching,Match the sun picture.,sunny,rainy | boots | coat,Pre-A1.2,VOC weather words,sunny,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U011-Repair-WEATHER-01,IMG03/IMG04
AEW2-U011-L1-Q06,Lesson 1,Meet the Weather,matching,Match the rain picture.,rainy,sunny | hat | shoes,Pre-A1.2,VOC weather words,rainy,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U011-Repair-WEATHER-01,IMG03/IMG04
AEW2-U011-L1-Q07,Lesson 1,Meet the Weather,true_false,Cloudy means many clouds.,true,false,Pre-A1.2,VOC weather words,cloudy,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U011-Repair-WEATHER-01,IMG03/IMG04
AEW2-U011-L1-Q08,Lesson 1,Meet the Weather,true_false,Windy means the leaves move.,true,false,Pre-A1.2,VOC weather words,windy,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U011-Repair-WEATHER-01,IMG03/IMG04
AEW2-U011-L1-Q09,Lesson 1,Meet the Weather,mcq,Leaves move outside. Choose the weather.,windy,rainy | sunny | cloudy,Pre-A1.2,VOC weather words,windy,Vocabulary/Grammar,medium,vocabulary confusion,AEW2-U011-Repair-WEATHER-01,IMG03/IMG04
AEW2-U011-L1-Q10,Lesson 1,Meet the Weather,mcq,The sky has many clouds. Choose the weather.,cloudy,rainy | sunny | hat,Pre-A1.2,VOC weather words,cloudy,Vocabulary/Grammar,medium,vocabulary confusion,AEW2-U011-Repair-WEATHER-01,IMG03/IMG04
AEW2-U011-L1-Q11,Lesson 1,Meet the Weather,vocabulary_in_context,Which pair is weather only?,sunny and rainy,coat and boots | hat and shoes | umbrella and sweater,Pre-A1.2,VOC weather words,sunny/rainy,Vocabulary/Grammar,medium,vocabulary confusion,AEW2-U011-Repair-WEATHER-01,Lesson 1 word set
AEW2-U011-L1-Q12,Lesson 1,Meet the Weather,sentence_build,Build the sentence for sun.,It's sunny.,It's boots. | Choose rainy. | Hat sunny.,Pre-A1.2,CHK simple sentence,It's sunny.,Vocabulary/Grammar,medium,chunk/form confusion,AEW2-U011-Repair-WEATHER-01,Lesson 1 model
AEW2-U011-L2-Q01,Lesson 2,It's Sunny / It's Rainy,mcq,Choose the sunny sentence.,It's sunny.,It's rainy. | Choose boots. | This is my hat.,Pre-A1.2,CHK It's + weather,It's sunny.,Vocabulary/Grammar,easy,chunk/form confusion,AEW2-U011-Repair-ITS-01,IMG05/IMG06
AEW2-U011-L2-Q02,Lesson 2,It's Sunny / It's Rainy,mcq,Choose the rainy sentence.,It's rainy.,It's windy. | I want juice. | Choose shoes.,Pre-A1.2,CHK It's + weather,It's rainy.,Vocabulary/Grammar,easy,chunk/form confusion,AEW2-U011-Repair-ITS-01,IMG05/IMG06
AEW2-U011-L2-Q03,Lesson 2,It's Sunny / It's Rainy,gap_fill,It's ____.,sunny,boots | hat | coat,Pre-A1.2,CHK It's + weather,sunny,Vocabulary/Grammar,easy,chunk/form confusion,AEW2-U011-Repair-ITS-01,Lesson 2 model
AEW2-U011-L2-Q04,Lesson 2,It's Sunny / It's Rainy,gap_fill,It's ____.,rainy,umbrella | T-shirt | shoes,Pre-A1.2,CHK It's + weather,rainy,Vocabulary/Grammar,easy,chunk/form confusion,AEW2-U011-Repair-ITS-01,Lesson 2 model
AEW2-U011-L2-Q05,Lesson 2,It's Sunny / It's Rainy,mcq,Sun outside. What is it?,sunny,rainy | boots | umbrella,Pre-A1.2,VOC weather words,sunny,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U011-Repair-ITS-01,IMG05
AEW2-U011-L2-Q06,Lesson 2,It's Sunny / It's Rainy,mcq,Rain outside. What is it?,rainy,cloudy | hat | sunny,Pre-A1.2,VOC weather words,rainy,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U011-Repair-ITS-01,IMG05
AEW2-U011-L2-Q07,Lesson 2,It's Sunny / It's Rainy,matching,Match sunny day.,hat,boots | coat | umbrella,Pre-A1.2,Weather/clothes link,sunny + hat,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-ITS-01,IMG06
AEW2-U011-L2-Q08,Lesson 2,It's Sunny / It's Rainy,matching,Match rainy day.,boots,T-shirt | hat | shoes,Pre-A1.2,Weather/clothes link,rainy + boots,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-ITS-01,IMG06
AEW2-U011-L2-Q09,Lesson 2,It's Sunny / It's Rainy,true_false,It's sunny means rain outside.,false,true,Pre-A1.2,Weather recognition,sunny/rainy,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-ITS-01,Lesson 2 contrast
AEW2-U011-L2-Q10,Lesson 2,It's Sunny / It's Rainy,true_false,It's rainy means rain outside.,true,false,Pre-A1.2,Weather recognition,rainy,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-ITS-01,Lesson 2 contrast
AEW2-U011-L2-Q11,Lesson 2,It's Sunny / It's Rainy,choose_best_reply,Look! Sun! Choose a reply.,It's sunny.,It's rainy. | Choose boots. | I'm Leo.,Pre-A1.2,SI simple response,It's sunny.,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-ITS-01,Lesson 2 model
AEW2-U011-L2-Q12,Lesson 2,It's Sunny / It's Rainy,choose_best_reply,Look! Rain! Choose a reply.,It's rainy.,It's windy. | Choose a hat. | This is my mom.,Pre-A1.2,SI simple response,It's rainy.,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-ITS-01,Lesson 2 model
AEW2-U011-L3-Q01,Lesson 3,It's Windy / It's Cloudy,mcq,Choose the windy word.,windy,cloudy | coat | boots,Pre-A1.2,VOC weather words,windy,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U011-Repair-ITS-02,IMG07/IMG08
AEW2-U011-L3-Q02,Lesson 3,It's Windy / It's Cloudy,mcq,Choose the cloudy word.,cloudy,rainy | sunny | umbrella,Pre-A1.2,VOC weather words,cloudy,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U011-Repair-ITS-02,IMG07/IMG08
AEW2-U011-L3-Q03,Lesson 3,It's Windy / It's Cloudy,gap_fill,It's ____.,windy,hat | coat | shoes,Pre-A1.2,CHK It's + weather,windy,Vocabulary/Grammar,easy,chunk/form confusion,AEW2-U011-Repair-ITS-02,Lesson 3 model
AEW2-U011-L3-Q04,Lesson 3,It's Windy / It's Cloudy,gap_fill,It's ____.,cloudy,boots | umbrella | T-shirt,Pre-A1.2,CHK It's + weather,cloudy,Vocabulary/Grammar,easy,chunk/form confusion,AEW2-U011-Repair-ITS-02,Lesson 3 model
AEW2-U011-L3-Q05,Lesson 3,It's Windy / It's Cloudy,mcq,Leaves move. Choose the sentence.,It's windy.,It's cloudy. | It's rainy. | Choose boots.,Pre-A1.2,Weather recognition,windy,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-ITS-02,IMG07
AEW2-U011-L3-Q06,Lesson 3,It's Windy / It's Cloudy,mcq,Many clouds. Choose the sentence.,It's cloudy.,It's sunny. | It's windy. | Choose a hat.,Pre-A1.2,Weather recognition,cloudy,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-ITS-02,IMG07
AEW2-U011-L3-Q07,Lesson 3,It's Windy / It's Cloudy,true_false,Windy can move leaves.,true,false,Pre-A1.2,Weather recognition,windy,Vocabulary/Grammar,easy,project readiness confusion,AEW2-U011-Repair-ITS-02,IMG08
AEW2-U011-L3-Q08,Lesson 3,It's Windy / It's Cloudy,true_false,Cloudy means a bright sun only.,false,true,Pre-A1.2,Weather recognition,cloudy,Vocabulary/Grammar,easy,project readiness confusion,AEW2-U011-Repair-ITS-02,IMG08
AEW2-U011-L3-Q09,Lesson 3,It's Windy / It's Cloudy,matching,Windy day. Choose one good clothes word.,jacket,sandwich | juice | toy,Pre-A1.2,Weather/clothes link,windy + jacket,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-ITS-02,Lesson 3 + Lesson 4 bridge
AEW2-U011-L3-Q10,Lesson 3,It's Windy / It's Cloudy,matching,Cloudy day. Choose one clothes word.,sweater,dog | apple | rainy,Pre-A1.2,Weather/clothes link,cloudy + sweater,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-ITS-02,Lesson 3 + Lesson 4 bridge
