Section,Title,Can-do,Image IDs,Student-facing Input,Model Language,Try It / Output,Practice IDs,Audio Placeholder,Repair Hint,Portfolio Link
Unit Opener,Toy Box Mystery,I can name toys and say where something is.,"IMG01, IMG02","Leo, Mia, Emma, and Toto find a toy box. A toy is missing. They look, point, and listen. Where is the toy?",toy box / Where is the toy? / It's in the box.,Point to the toy box and say: toy box.,,u007_opener_situation.mp3,"Use the picture first. Say one toy word, then one place word.",Toy Location Page preview
Lesson 1,Meet the Toys,I can recognize and say toy words.,"IMG03, IMG04","Look at the toy shelf. Listen and point: ball, car, doll, robot, kite, teddy bear, blocks, train.",ball / car / doll / robot / kite / teddy bear / blocks / train,Point to three toys and say the words.,AEW2-U007-L1-Q01 to AEW2-U007-L1-Q12,u007_l1_toy_words.mp3,Match picture to word again. Say only the toy word first.,Choose toy words for the project page
Lesson 2,In the Box,I can say where a toy is with in.,"IMG05, IMG06",A toy is inside the toy box. Leo points. Use the frame: It's in the box.,Where is the teddy bear? It's in the box. / Where is the robot? It's in the box.,Put a toy card in the box picture and say: It's in the box.,AEW2-U007-L2-Q01 to AEW2-U007-L2-Q12,u007_l2_in_the_box.mp3,"If the toy is inside, use in.",Use one in sentence
Lesson 3,On the Shelf,I can say where a toy is with on.,"IMG07, IMG08",A toy is touching the shelf or table. Use the frame: It's on the shelf.,Where is the car? It's on the shelf. / Where is the ball? It's on the table.,Point to a toy on a shelf or table and say: It's on the shelf.,AEW2-U007-L3-Q01 to AEW2-U007-L3-Q12,u007_l3_on_the_shelf.mp3,"If the toy is sitting on top, use on.",Use one on sentence
Lesson 4,Under the Table,I can say where a toy is with under.,"IMG09, IMG10",A toy is below the table. Toto looks. Use the frame: It's under the table.,Where is the ball? It's under the table. / Where is the car? It's under the table.,Point under the table and say: It's under the table.,AEW2-U007-L4-Q01 to AEW2-U007-L4-Q12,u007_l4_under_the_table.mp3,"If the toy is below something, use under.",Use one under sentence
Lesson 5,Where Is the Toy?,I can ask and answer Where is the toy?,"IMG11, IMG12",The team asks about toys in the room. Use a short question and answer.,A: Where is the robot? B: It's in the box. / A: Where is the car? B: It's on the shelf. / A: Where is the ball? B: It's under the table.,Ask one friend: Where is the toy? Answer with one location.,AEW2-U007-L5-Q01 to AEW2-U007-L5-Q12,u007_l5_where_is_dialogue.mp3,Question: Where is the ___? Answer: It's ___ the ___.,Project Q&A practice
Lesson 6,Toto's Toy Hunt,"I can follow toy clues with in, on, and under.","IMG13, IMG14, IMG15","Toto gives clue cards. Find the toy: in the box, on the shelf, or under the table.",Clue: under. Where is the ball? It's under the table. / Clue: in. It's in the box.,Choose one clue card and say the toy location.,AEW2-U007-L6-Q01 to AEW2-U007-L6-Q12,u007_l6_toy_hunt.mp3,"Look at the clue word first: in, on, or under.",Choose 3 location clues
Lesson 7,Say and Show,I can prepare my toy location page.,"IMG16, IMG17",Make a Toy Location Page. Choose three toys and three places. Practice one question and one answer.,Where is the ball? It's in the box. / Where is the car? It's on the shelf. / Where is the robot? It's under the table.,Show your page and say three toy locations.,AEW2-U007-L7-Q01 to AEW2-U007-L7-Q12,u007_l7_project_rehearsal.mp3,Use the same frame for each toy: Where is the ___? It's ___ the ___.,My Toy Location Page
Watch,Toto Finds the Robot,I can understand a short toy location story.,"IMG02, IMG05, IMG07, IMG09, IMG20","Watch the team find toys. Listen for toy words and places: in, on, under.",Where is the robot? It's in the box. / Where is the car? It's on the shelf. / Where is the ball? It's under the table.,Point to the place you hear.,AEW2-U007-WATCH-Q01 to AEW2-U007-WATCH-Q12,u007_watch_story.mp3,"Watch again. Listen for in, on, or under.",Watch-to-project location practice
Final Project,My Toy Location Page,I can show toys and say where they are.,"IMG17, IMG20","Choose three toys. Put each toy in a place: in the box, on the shelf, or under the table. Show your page.",Where is the ball? It's in the box. / Where is the robot? It's on the shelf. / Where is the teddy bear? It's under the table.,Make your Toy Location Page. Say three lines with a clear voice.,AEW2-U007-PROJ-Q01 to AEW2-U007-PROJ-Q12,u007_project_model.mp3,Choose toy + choose place + say the location sentence.,Toy Location Page + short presentation
