filename,image_id,course,unit,lesson,image_type,characters,style,generation_size,aspect_ratio,display_width,kp_link,lexical_link,quiz_link,text_in_image,alt_text,expandable,safety_check,clothing_check,political_check,notes
AEW2_U007_IMG01_cover_toy_box_mystery.png,IMG01,Adventure English World V2,7,Unit cover,Unit cover,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1672x941,1672:941,large responsive; expandable,toy words; in/on/under; Where is...?; It's...,"ball, car, doll, robot, kite, teddy bear, blocks, train, toy, box, shelf, table",Unit opener,none/minimal/verified,Unit 7 Unit cover.,yes,passed,passed,passed,Final Content + Image Alignment Gate v1 passed.
AEW2_U007_IMG02_unit_story_toy_box_scene.png,IMG02,Adventure English World V2,7,Unit story / Watch opening,Unit story / Watch opening,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1672x941,1672:941,large responsive; expandable,toy words; in/on/under; Where is...?; It's...,"ball, car, doll, robot, kite, teddy bear, blocks, train, toy, box, shelf, table","Unit opener, Watch",none/minimal/verified,Unit 7 Unit story / Watch opening.,yes,passed,passed,passed,Final Content + Image Alignment Gate v1 passed.
AEW2_U007_IMG03_lesson1_meet_the_toys.png,IMG03,Adventure English World V2,7,Lesson 1 anchor,Lesson 1 anchor,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1672x941,1672:941,large responsive; expandable,toy words; in/on/under; Where is...?; It's...,"ball, car, doll, robot, kite, teddy bear, blocks, train, toy, box, shelf, table",Toy words,none/minimal/verified,Unit 7 Lesson 1 anchor.,yes,passed,passed,passed,Final Content + Image Alignment Gate v1 passed.
AEW2_U007_IMG04_lesson1_toy_vocabulary_shelf.png,IMG04,Adventure English World V2,7,Lesson 1 vocabulary board,Lesson 1 vocabulary board,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1402x1122,1402:1122,large responsive; expandable,toy words; in/on/under; Where is...?; It's...,"ball, car, doll, robot, kite, teddy bear, blocks, train, toy, box, shelf, table",Toy word Practice,none/minimal/verified,Unit 7 Lesson 1 vocabulary board.,yes,passed,passed,passed,Final Content + Image Alignment Gate v1 passed.
AEW2_U007_IMG05_lesson2_in_the_box_scene.png,IMG05,Adventure English World V2,7,Lesson 2 anchor,Lesson 2 anchor,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1672x941,1672:941,large responsive; expandable,toy words; in/on/under; Where is...?; It's...,"ball, car, doll, robot, kite, teddy bear, blocks, train, toy, box, shelf, table",in the box,none/minimal/verified,Unit 7 Lesson 2 anchor.,yes,passed,passed,passed,Final Content + Image Alignment Gate v1 passed.
AEW2_U007_IMG06_lesson2_in_position_visual.png,IMG06,Adventure English World V2,7,Lesson 2 grammar visual,Lesson 2 grammar visual,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1448x1086,1448:1086,large responsive; expandable,toy words; in/on/under; Where is...?; It's...,"ball, car, doll, robot, kite, teddy bear, blocks, train, toy, box, shelf, table",in + place,none/minimal/verified,Unit 7 Lesson 2 grammar visual.,yes,passed,passed,passed,Final Content + Image Alignment Gate v1 passed.
AEW2_U007_IMG07_lesson3_on_the_shelf_scene.png,IMG07,Adventure English World V2,7,Lesson 3 anchor,Lesson 3 anchor,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1672x941,1672:941,large responsive; expandable,toy words; in/on/under; Where is...?; It's...,"ball, car, doll, robot, kite, teddy bear, blocks, train, toy, box, shelf, table",on the shelf/table,none/minimal/verified,Unit 7 Lesson 3 anchor.,yes,passed,passed,passed,Final Content + Image Alignment Gate v1 passed.
AEW2_U007_IMG08_lesson3_on_position_visual.png,IMG08,Adventure English World V2,7,Lesson 3 grammar visual,Lesson 3 grammar visual,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1448x1086,1448:1086,large responsive; expandable,toy words; in/on/under; Where is...?; It's...,"ball, car, doll, robot, kite, teddy bear, blocks, train, toy, box, shelf, table",on + place,none/minimal/verified,Unit 7 Lesson 3 grammar visual.,yes,passed,passed,passed,Final Content + Image Alignment Gate v1 passed.
AEW2_U007_IMG09_lesson4_under_the_table_scene.png,IMG09,Adventure English World V2,7,Lesson 4 anchor,Lesson 4 anchor,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1672x941,1672:941,large responsive; expandable,toy words; in/on/under; Where is...?; It's...,"ball, car, doll, robot, kite, teddy bear, blocks, train, toy, box, shelf, table",under the table,none/minimal/verified,Unit 7 Lesson 4 anchor.,yes,passed,passed,passed,Final Content + Image Alignment Gate v1 passed.
AEW2_U007_IMG10_lesson4_under_position_visual.png,IMG10,Adventure English World V2,7,Lesson 4 grammar visual,Lesson 4 grammar visual,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1448x1086,1448:1086,large responsive; expandable,toy words; in/on/under; Where is...?; It's...,"ball, car, doll, robot, kite, teddy bear, blocks, train, toy, box, shelf, table",under + place,none/minimal/verified,Unit 7 Lesson 4 grammar visual.,yes,passed,passed,passed,Final Content + Image Alignment Gate v1 passed.
