check,status,notes
CEFR band clear,pass,Unit 9 is Pre-A1.2
Micro-band clear,pass,Pre-A1.2
Can-do goal appropriate,pass,I can name simple foods and ask politely.
New KP allowed,pass,"snack/drink words; I want ..., please.; a/an chunk noticing"
Review KP marked,pass,greetings and simple turn-taking
Blocked KP avoided in learner content,pass,core content avoids blocked structures
Vocabulary load controlled,pass,10 active words
Active/receptive words separated,pass,lexical_map.csv
Input length appropriate,pass,short picture-supported text
Output length appropriate,pass,one short role-play line
Practice items mapped to KP,pass,108 item blueprint
Quiz variety sufficient,pass,"MCQ, matching, gap fill, sequence, sentence build, error correction"
Watch difficulty appropriate,pass,54-second repeated Pre-A1 script
Project difficulty appropriate,pass,snack card + role-play
Repair path aligned,pass,repair_path.csv
Portfolio evidence clear,pass,snack card + recording
