audio_id,filename,course,unit,lesson,section,text_or_script_ref,language,voice_type,duration,media_server_path,moodle_path,notes
AEW2_U009_AUD_UNIT_STORY,AEW2_U009_unit_story.mp3,Adventure English World V2,9,Unit Story,Unit Story,Unit story text,English,Maisie/Ana placeholder,placeholder,MediaServer/FLW/Adventure_English_World/Unit_009/audio/AEW2_U009_unit_story.mp3,assets/audio/AEW2_U009_unit_story.mp3,placeholder only; no audio generated
AEW2_U009_AUD_L01,AEW2_U009_L01_vocab_set.mp3,Adventure English World V2,9,Lesson 1,Vocabulary set,"apple, banana, orange, sandwich, cookie",English,Ana placeholder,placeholder,MediaServer/FLW/Adventure_English_World/Unit_009/audio/AEW2_U009_L01_vocab_set.mp3,assets/audio/AEW2_U009_L01_vocab_set.mp3,placeholder only; no audio generated
AEW2_U009_AUD_L02,AEW2_U009_L02_model.mp3,Adventure English World V2,9,Lesson 2,Model,I want an apple. I want a banana.,English,Maisie/Ana placeholder,placeholder,MediaServer/FLW/Adventure_English_World/Unit_009/audio/AEW2_U009_L02_model.mp3,assets/audio/AEW2_U009_L02_model.mp3,placeholder only; no audio generated
AEW2_U009_AUD_L03,AEW2_U009_L03_polite_model.mp3,Adventure English World V2,9,Lesson 3,Dialogue,"I want a banana, please. Here you are. Thank you.",English,Maisie/Ana placeholder,placeholder,MediaServer/FLW/Adventure_English_World/Unit_009/audio/AEW2_U009_L03_polite_model.mp3,assets/audio/AEW2_U009_L03_polite_model.mp3,placeholder only; no audio generated
AEW2_U009_AUD_L04,AEW2_U009_L04_a_an_chunks.mp3,Adventure English World V2,9,Lesson 4,Chunk set,a banana; an apple; an orange; a sandwich; a cookie,English,Ana placeholder,placeholder,MediaServer/FLW/Adventure_English_World/Unit_009/audio/AEW2_U009_L04_a_an_chunks.mp3,assets/audio/AEW2_U009_L04_a_an_chunks.mp3,placeholder only; no audio generated
AEW2_U009_AUD_L05,AEW2_U009_L05_drinks.mp3,Adventure English World V2,9,Lesson 5,Vocabulary set,"water, milk, juice",English,Ana placeholder,placeholder,MediaServer/FLW/Adventure_English_World/Unit_009/audio/AEW2_U009_L05_drinks.mp3,assets/audio/AEW2_U009_L05_drinks.mp3,placeholder only; no audio generated
AEW2_U009_AUD_L06,AEW2_U009_L06_roleplay.mp3,Adventure English World V2,9,Lesson 6,Role-play model,"Hello. I want a sandwich and juice, please. Here you are. Thank you.",English,Maisie/Ana placeholder,placeholder,MediaServer/FLW/Adventure_English_World/Unit_009/audio/AEW2_U009_L06_roleplay.mp3,assets/audio/AEW2_U009_L06_roleplay.mp3,placeholder only; no audio generated
AEW2_U009_AUD_L07,AEW2_U009_L07_project_model.mp3,Adventure English World V2,9,Lesson 7,Project model,"I want a cookie and juice, please.",English,Ana placeholder,placeholder,MediaServer/FLW/Adventure_English_World/Unit_009/audio/AEW2_U009_L07_project_model.mp3,assets/audio/AEW2_U009_L07_project_model.mp3,placeholder only; no audio generated
AEW2_U009_AUD_WATCH,AEW2_U009_watch_script.mp3,Adventure English World V2,9,Watch,Watch script,Toto and the Snack Card script,English,Maisie/Ana placeholder,placeholder,MediaServer/FLW/Adventure_English_World/Unit_009/audio/AEW2_U009_watch_script.mp3,assets/audio/AEW2_U009_watch_script.mp3,placeholder only; no audio generated
AEW2_U009_AUD_PROJECT,AEW2_U009_project_model.mp3,Adventure English World V2,9,Final Project,Project model,My Snack Order Role-play model,English,Ana placeholder,placeholder,MediaServer/FLW/Adventure_English_World/Unit_009/audio/AEW2_U009_project_model.mp3,assets/audio/AEW2_U009_project_model.mp3,placeholder only; no audio generated
