field,entry
Course,Adventure English World V2
Unit Number,6
Unit Title,Mini Quest Review
CEFR Band,Pre-A1.1
Micro-band,Pre-A1.1 review / mini progress decision
Learner Age / Identity,"Adventure cast, about 7–8 years old"
Can-do Goal,I can use early words and phrases in a picture mission.
New KP,"No major new KP; only receptive mission words: mission, clue, badge, card, team."
Review KP,Greetings; colors; numbers 0–20; classroom actions; animals; It’s…; How many?; I like / I don’t like.
Blocked KP,"Toys, body, snacks, family, weather, there is/are, prepositions, dates, age, long self-introductions, paragraph writing."
Active Vocabulary Target,Review-only controlled set from Units 1–5.
Receptive Vocabulary Target,"mission, clue, badge, card, team, choose."
Expression Target,Hello. I’m…; It’s…; How many?; Listen/Look/Point/Draw/Open/Close; It’s a…; I like…; I don’t like…; Goodbye.
Collocation Target,"color + object chunks such as red pencil, blue book; number + object chunks such as three birds."
Discourse Target,Very short sequence: hello → color → number → action → animal → goodbye.
Register Target,Friendly classroom language only.
Pronunciation / Script Target,Clear repetition of short words and chunks; no phonics teaching.
Reading Input Target,"Labels, icons, one-line clues, and 1–3 sentence picture-supported mini texts."
Listening / Watch Target,30–60 second repeated picture-supported review video/slideshow.
Speaking Output Target,4–6 memorized short lines.
Writing Output Target,Copy/select words on a picture mission card; no free paragraph.
Practice Item Difficulty Mix,"Mostly recognition, matching, picture choice, simple gap fill, sequence, and true/false."
Watch Practice Focus,"Main idea, character, color, number, action, animal, sequence, and project link."
Project Output Requirement,Mini picture mission card + short speaking recording.
AI Feedback Categories,"Task completion, word choice, phrase order, pronunciation confidence, retry guidance."
Repair Path,"Vocabulary repair, phrase chunk repair, picture-choice retry, model-repeat retry."
Portfolio Evidence,Mini picture mission card plus short recording.
Difficulty Audit Result,Planning pass; final audit needed after content-image alignment.
