audio_id,section,character,voice,text,audio_file,sha256
adventure-u6-1-1,model-line,Leo,en-GB-MaisieNeural,Hello. I’m Leo.,assets/audio/generated/01_model-line_01.mp3,ce44ee508aa7512cefcb2ebf49416cc2253ffabdf77ef7dda457727ef932710f
adventure-u6-1-model,model-line,combined,mixed,Hello. I’m Leo.,assets/audio/generated/01_model-line_model.mp3,ce44ee508aa7512cefcb2ebf49416cc2253ffabdf77ef7dda457727ef932710f
adventure-u6-2-1,model-line,Model,en-US-AnaNeural,It’s blue.,assets/audio/generated/02_model-line_01.mp3,e496208057ce6f774fed89b479fde6a66baf0ac0edcb571640e339b61acb4d5d
adventure-u6-2-model,model-line,combined,mixed,It’s blue.,assets/audio/generated/02_model-line_model.mp3,e496208057ce6f774fed89b479fde6a66baf0ac0edcb571640e339b61acb4d5d
adventure-u6-3-1,model-line,Model,en-US-AnaNeural,How many? Five.,assets/audio/generated/03_model-line_01.mp3,ae0beb279896c00a85bb0590a756bdd475bdf124dbc7c46e29aed49ce32e5d9b
adventure-u6-3-model,model-line,combined,mixed,How many? Five.,assets/audio/generated/03_model-line_model.mp3,ae0beb279896c00a85bb0590a756bdd475bdf124dbc7c46e29aed49ce32e5d9b
adventure-u6-4-1,model-line,Model,en-US-AnaNeural,It’s a dog. I like dogs.,assets/audio/generated/04_model-line_01.mp3,a7a48468ad66b31cf003736f082f2e469e87047c3378fc127606ef8b319125fe
adventure-u6-4-model,model-line,combined,mixed,It’s a dog. I like dogs.,assets/audio/generated/04_model-line_model.mp3,a7a48468ad66b31cf003736f082f2e469e87047c3378fc127606ef8b319125fe
adventure-u6-5-1,model-line,Model,en-US-AnaNeural,Hello.,assets/audio/generated/05_model-line_01.mp3,9320ecbfccd173e22a45e13b137e17300787e763fd2f35924b209f35a149e80d
adventure-u6-5-model,model-line,combined,mixed,Hello.,assets/audio/generated/05_model-line_model.mp3,9320ecbfccd173e22a45e13b137e17300787e763fd2f35924b209f35a149e80d
adventure-u6-6-1,model-line,Model,en-US-AnaNeural,Hi.,assets/audio/generated/06_model-line_01.mp3,ad59e0bcaa8af153f745681fad4ec57340342cf4361450b91bd6f877b0401470
adventure-u6-6-model,model-line,combined,mixed,Hi.,assets/audio/generated/06_model-line_model.mp3,ad59e0bcaa8af153f745681fad4ec57340342cf4361450b91bd6f877b0401470
adventure-u6-7-1,model-line,Leo,en-GB-MaisieNeural,I’m Leo.,assets/audio/generated/07_model-line_01.mp3,769a10f6937dc09ad256012be6a0293fad28eb0f3ee9ef156ea8257fe317dd45
adventure-u6-7-model,model-line,combined,mixed,I’m Leo.,assets/audio/generated/07_model-line_model.mp3,769a10f6937dc09ad256012be6a0293fad28eb0f3ee9ef156ea8257fe317dd45
adventure-u6-8-1,model-line,Mia,en-US-AnaNeural,I’m Mia.,assets/audio/generated/08_model-line_01.mp3,38965cd96e84ff319e84b3f8162039af6c1a6b14bbeb8d2d2cebffc0c17ab819
adventure-u6-8-model,model-line,combined,mixed,I’m Mia.,assets/audio/generated/08_model-line_model.mp3,38965cd96e84ff319e84b3f8162039af6c1a6b14bbeb8d2d2cebffc0c17ab819
adventure-u6-9-1,model-line,Emma,en-US-AnaNeural,I’m Emma.,assets/audio/generated/09_model-line_01.mp3,213aac3c906519cbc5f4b6a2f9740223a3bddbaed11a175db3e83c7a0f4177ba
adventure-u6-9-model,model-line,combined,mixed,I’m Emma.,assets/audio/generated/09_model-line_model.mp3,213aac3c906519cbc5f4b6a2f9740223a3bddbaed11a175db3e83c7a0f4177ba
adventure-u6-10-1,model-line,Model,en-US-AnaNeural,Goodbye.,assets/audio/generated/10_model-line_01.mp3,854bb0eb3b8401f05bc6245972bce0eaa3ec17793e14361198185a5e77ddd7ed
adventure-u6-10-model,model-line,combined,mixed,Goodbye.,assets/audio/generated/10_model-line_model.mp3,854bb0eb3b8401f05bc6245972bce0eaa3ec17793e14361198185a5e77ddd7ed
adventure-u6-11-1,model-line,Model,en-US-AnaNeural,It’s red.,assets/audio/generated/11_model-line_01.mp3,61e16819de6967c3fc5fd5a91eeb7bdef6473d27dd6391bf4cb8f725aaa7afba
adventure-u6-11-model,model-line,combined,mixed,It’s red.,assets/audio/generated/11_model-line_model.mp3,61e16819de6967c3fc5fd5a91eeb7bdef6473d27dd6391bf4cb8f725aaa7afba
adventure-u6-12-1,model-line,Model,en-US-AnaNeural,It’s blue.,assets/audio/generated/12_model-line_01.mp3,e496208057ce6f774fed89b479fde6a66baf0ac0edcb571640e339b61acb4d5d
adventure-u6-12-model,model-line,combined,mixed,It’s blue.,assets/audio/generated/12_model-line_model.mp3,e496208057ce6f774fed89b479fde6a66baf0ac0edcb571640e339b61acb4d5d
adventure-u6-13-1,model-line,Model,en-US-AnaNeural,It’s yellow.,assets/audio/generated/13_model-line_01.mp3,c49612148e6005064e0b78576d3cd8bb7b7dbdf9e1d82b7385607b02cc931683
adventure-u6-13-model,model-line,combined,mixed,It’s yellow.,assets/audio/generated/13_model-line_model.mp3,c49612148e6005064e0b78576d3cd8bb7b7dbdf9e1d82b7385607b02cc931683
