filename,image_id,course,unit,lesson,image_type,characters,style,generation_size,aspect_ratio,display_width,kp_link,lexical_link,quiz_link,text_in_image,alt_text,expandable,safety_check,clothing_check,political_check,notes
AEW2_U010_IMG01_cover_family_tree.png,IMG01,Adventure English World V2,10,Lesson 1,cover,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1313x1198,1313:1198,responsive; expandable,family words; This is my ___; Who's this?; It's my ___,"mom, dad, sister, brother, grandma, grandpa, friend, dog",Lesson 1,none/minimal/verified,Unit 10 cover for Lesson 1.,yes,passed,passed,passed,Final Content + Image Alignment Gate v2 passed.
AEW2_U010_IMG02_l1_family_word_board.png,IMG02,Adventure English World V2,10,Lesson 1,vocabulary board,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1367x1151,1367:1151,responsive; expandable,family words; This is my ___; Who's this?; It's my ___,"mom, dad, sister, brother, grandma, grandpa, friend, dog",Lesson 1,none/minimal/verified,Unit 10 vocabulary board for Lesson 1.,yes,passed,passed,passed,Final Content + Image Alignment Gate v2 passed.
AEW2_U010_IMG03_l1_leo_photo_cards.png,IMG03,Adventure English World V2,10,Lesson 1,lesson anchor scene,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1359x1158,1359:1158,responsive; expandable,family words; This is my ___; Who's this?; It's my ___,"mom, dad, sister, brother, grandma, grandpa, friend, dog",Lesson 1,none/minimal/verified,Unit 10 lesson anchor scene for Lesson 1.,yes,passed,passed,passed,Final Content + Image Alignment Gate v2 passed.
AEW2_U010_IMG04_l2_this_is_my_model.png,IMG04,Adventure English World V2,10,Lesson 2,expression model,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1402x1122,1402:1122,responsive; expandable,family words; This is my ___; Who's this?; It's my ___,"mom, dad, sister, brother, grandma, grandpa, friend, dog",Lesson 2,none/minimal/verified,Unit 10 expression model for Lesson 2.,yes,passed,passed,passed,Final Content + Image Alignment Gate v2 passed.
AEW2_U010_IMG05_l2_photo_card_choices.png,IMG05,Adventure English World V2,10,Lesson 2,choice cards,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1402x1122,1402:1122,responsive; expandable,family words; This is my ___; Who's this?; It's my ___,"mom, dad, sister, brother, grandma, grandpa, friend, dog",Lesson 2,none/minimal/verified,Unit 10 choice cards for Lesson 2.,yes,passed,passed,passed,Final Content + Image Alignment Gate v2 passed.
AEW2_U010_IMG06_l3_whos_this_question.png,IMG06,Adventure English World V2,10,Lesson 3,dialogue scene,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1402x1122,1402:1122,responsive; expandable,family words; This is my ___; Who's this?; It's my ___,"mom, dad, sister, brother, grandma, grandpa, friend, dog",Lesson 3,none/minimal/verified,Unit 10 dialogue scene for Lesson 3.,yes,passed,passed,passed,Final Content + Image Alignment Gate v2 passed.
AEW2_U010_IMG07_l3_reply_cards.png,IMG07,Adventure English World V2,10,Lesson 3,reply card scene,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1402x1122,1402:1122,responsive; expandable,family words; This is my ___; Who's this?; It's my ___,"mom, dad, sister, brother, grandma, grandpa, friend, dog",Lesson 3,none/minimal/verified,Unit 10 reply card scene for Lesson 3.,yes,passed,passed,passed,Final Content + Image Alignment Gate v2 passed.
AEW2_U010_IMG08_l4_this_is_my_friend.png,IMG08,Adventure English World V2,10,Lesson 4,friend model scene,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1402x1122,1402:1122,responsive; expandable,family words; This is my ___; Who's this?; It's my ___,"mom, dad, sister, brother, grandma, grandpa, friend, dog",Lesson 4,none/minimal/verified,Unit 10 friend model scene for Lesson 4.,yes,passed,passed,passed,Final Content + Image Alignment Gate v2 passed.
AEW2_U010_IMG09_l4_family_friend_sort.png,IMG09,Adventure English World V2,10,Lesson 4,sorting board,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1402x1122,1402:1122,responsive; expandable,family words; This is my ___; Who's this?; It's my ___,"mom, dad, sister, brother, grandma, grandpa, friend, dog",Lesson 4,none/minimal/verified,Unit 10 sorting board for Lesson 4.,yes,passed,passed,passed,Final Content + Image Alignment Gate v2 passed.
AEW2_U010_IMG10_l5_mini_reading_cards.png,IMG10,Adventure English World V2,10,Lesson 5,reading cards,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1402x1122,1402:1122,responsive; expandable,family words; This is my ___; Who's this?; It's my ___,"mom, dad, sister, brother, grandma, grandpa, friend, dog",Lesson 5,none/minimal/verified,Unit 10 reading cards for Lesson 5.,yes,passed,passed,passed,Final Content + Image Alignment Gate v2 passed.
AEW2_U010_IMG11_l5_my_tree_model.png,IMG11,Adventure English World V2,10,Lesson 5,model poster,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1402x1122,1402:1122,responsive; expandable,family words; This is my ___; Who's this?; It's my ___,"mom, dad, sister, brother, grandma, grandpa, friend, dog",Lesson 5,none/minimal/verified,Unit 10 model poster for Lesson 5.,yes,passed,passed,passed,Final Content + Image Alignment Gate v2 passed.
AEW2_U010_IMG12_l6_project_planning_table.png,IMG12,Adventure English World V2,10,Lesson 6,project planning scene,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1448x1086,1448:1086,responsive; expandable,family words; This is my ___; Who's this?; It's my ___,"mom, dad, sister, brother, grandma, grandpa, friend, dog",Lesson 6,none/minimal/verified,Unit 10 project planning scene for Lesson 6.,yes,passed,passed,passed,Final Content + Image Alignment Gate v2 passed.
AEW2_U010_IMG13_l6_phrase_bank_board.png,IMG13,Adventure English World V2,10,Lesson 6,phrase bank board,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1402x1122,1402:1122,responsive; expandable,family words; This is my ___; Who's this?; It's my ___,"mom, dad, sister, brother, grandma, grandpa, friend, dog",Lesson 6,none/minimal/verified,Unit 10 phrase bank board for Lesson 6.,yes,passed,passed,passed,Final Content + Image Alignment Gate v2 passed.
AEW2_U010_IMG14_l7_say_and_show_model.png,IMG14,Adventure English World V2,10,Lesson 7,show-and-tell scene,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1402x1122,1402:1122,responsive; expandable,family words; This is my ___; Who's this?; It's my ___,"mom, dad, sister, brother, grandma, grandpa, friend, dog",Lesson 7,none/minimal/verified,Unit 10 show-and-tell scene for Lesson 7.,yes,passed,passed,passed,Final Content + Image Alignment Gate v2 passed.
AEW2_U010_IMG15_l7_self_check_badge.png,IMG15,Adventure English World V2,10,Lesson 7,self-check scene,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1402x1122,1402:1122,responsive; expandable,family words; This is my ___; Who's this?; It's my ___,"mom, dad, sister, brother, grandma, grandpa, friend, dog",Lesson 7,none/minimal/verified,Unit 10 self-check scene for Lesson 7.,yes,passed,passed,passed,Final Content + Image Alignment Gate v2 passed.
AEW2_U010_IMG16_watch_frame01_toto_finds_cards.png,IMG16,Adventure English World V2,10,Watch,watch frame,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1672x941,1672:941,responsive; expandable,family words; This is my ___; Who's this?; It's my ___,"mom, dad, sister, brother, grandma, grandpa, friend, dog",Watch,none/minimal/verified,Unit 10 watch frame for Watch.,yes,passed,passed,passed,Final Content + Image Alignment Gate v2 passed.
AEW2_U010_IMG17_watch_frame02_leo_says_mom.png,IMG17,Adventure English World V2,10,Watch,watch frame,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1672x941,1672:941,responsive; expandable,family words; This is my ___; Who's this?; It's my ___,"mom, dad, sister, brother, grandma, grandpa, friend, dog",Watch,none/minimal/verified,Unit 10 watch frame for Watch.,yes,passed,passed,passed,Final Content + Image Alignment Gate v2 passed.
AEW2_U010_IMG18_watch_frame03_mia_asks_whos_this.png,IMG18,Adventure English World V2,10,Watch,watch frame,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1672x941,1672:941,responsive; expandable,family words; This is my ___; Who's this?; It's my ___,"mom, dad, sister, brother, grandma, grandpa, friend, dog",Watch,none/minimal/verified,Unit 10 watch frame for Watch.,yes,passed,passed,passed,Final Content + Image Alignment Gate v2 passed.
AEW2_U010_IMG19_watch_frame04_emma_says_friend.png,IMG19,Adventure English World V2,10,Watch,watch frame,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1672x941,1672:941,responsive; expandable,family words; This is my ___; Who's this?; It's my ___,"mom, dad, sister, brother, grandma, grandpa, friend, dog",Watch,none/minimal/verified,Unit 10 watch frame for Watch.,yes,passed,passed,passed,Final Content + Image Alignment Gate v2 passed.
AEW2_U010_IMG20_watch_frame05_finished_tree.png,IMG20,Adventure English World V2,10,Watch,watch frame,"Leo, Mia, Emma, Toto where shown",semi-realistic modern children educational coursebook,1672x941,1672:941,responsive; expandable,family words; This is my ___; Who's this?; It's my ___,"mom, dad, sister, brother, grandma, grandpa, friend, dog",Watch,none/minimal/verified,Unit 10 watch frame for Watch.,yes,passed,passed,passed,Final Content + Image Alignment Gate v2 passed.
