audio_id,section,character,voice,text,audio_file,sha256
adventure-u10-1-1,model,Model,en-US-AnaNeural,This is my mom.,assets/audio/generated/01_model_01.mp3,829b0db0ff630012684427e439b7c4f181ceefbcbfb8c76a6458197315044d16
adventure-u10-1-2,model,Model,en-US-AnaNeural,This is my friend.,assets/audio/generated/01_model_02.mp3,0f5f5aa31ba8ab9ab64d5095fc00eab062d199921a0d671e15cd4fdbbf37788e
adventure-u10-1-3,model,Model,en-US-AnaNeural,"Point to one card and say one line. 🔊 Repair hint: Use a card first, then choose one short line. Lesson 1: Family Words — I can recognize family and friend words. + + + Study Look at the word cards. Listen and point: mom, dad, sister, brother, grandma,",assets/audio/generated/01_model_03.mp3,dbeac2c7c733e873508108d743a6cbc96c7cb6e5560beba6bb913e5b22fffc61
adventure-u10-1-4,model,Model,en-US-AnaNeural,dad,assets/audio/generated/01_model_04.mp3,94ce6f5fc8c4340efda5451b06cc7544e9c246756788d70210d33d2e9512dab2
adventure-u10-1-5,model,Model,en-US-AnaNeural,sister,assets/audio/generated/01_model_05.mp3,5f8413a0f62f646451d952bd4b6017942a7be1e7ab612eb2e4b582b97d4ab2b4
adventure-u10-1-6,model,Model,en-US-AnaNeural,brother,assets/audio/generated/01_model_06.mp3,a0d19012de3d60da1bb512946fdc0c7477e20b57dfc8cd85a733ea3d55447700
adventure-u10-1-7,model,Model,en-US-AnaNeural,grandma,assets/audio/generated/01_model_07.mp3,c013975e24a47a699d151f81e6dce029b8cc93294dead475195eb7203b54af68
adventure-u10-1-8,model,Model,en-US-AnaNeural,grandpa,assets/audio/generated/01_model_08.mp3,ab0c5bd5bc04e9c7a069092e10565508e2aaa950cf91b94a729f3a90c1583515
adventure-u10-1-model,model,combined,mixed,"This is my mom. / This is my friend. / Point to one card and say one line. 🔊 Repair hint: Use a card first, then choose one short line. Lesson 1: Family Words — I can recognize family and friend words. + + + Study Look at the word cards. Listen and point: mom, dad, sister, brother, grandma, / dad / sister / brother / grandma / grandpa",assets/audio/generated/01_model_model.mp3,21cd88cd8f994f0c16c5526f9790e4762c37884b3b63792b4b39b1723b62e8c2
adventure-u10-2-1,model,Model,en-US-AnaNeural,This is my mom.,assets/audio/generated/02_model_01.mp3,829b0db0ff630012684427e439b7c4f181ceefbcbfb8c76a6458197315044d16
adventure-u10-2-2,model,Model,en-US-AnaNeural,This is my dad.,assets/audio/generated/02_model_02.mp3,41e85aa75bb86b79db82a004aa3d56e214557ebb127c11d480ebeb34824a872d
adventure-u10-2-3,model,Model,en-US-AnaNeural,This is my friend.,assets/audio/generated/02_model_03.mp3,0f5f5aa31ba8ab9ab64d5095fc00eab062d199921a0d671e15cd4fdbbf37788e
adventure-u10-2-4,model,Model,en-US-AnaNeural,This is my dog.,assets/audio/generated/02_model_04.mp3,f3a8858c88f4bb0656240e646d15390c1c51d45053ced6d20b87602dd9ca56e0
adventure-u10-2-model,model,combined,mixed,This is my mom. / This is my dad. / This is my friend. / This is my dog.,assets/audio/generated/02_model_model.mp3,39bb7ec34b46f09b17c369d76c12d01feb78c7911f674adc40a10820618c92b0
adventure-u10-3-1,model,Model,en-US-AnaNeural,Who's this? B: It's my mom.,assets/audio/generated/03_model_01.mp3,9050b157ebc5b7617585b487b6decb3e4863bdffa43bcb27ed5186416624b524
adventure-u10-3-2,model,Model,en-US-AnaNeural,It's my friend.,assets/audio/generated/03_model_02.mp3,82892b8a046eb0880bcc7037f6af55ef0cdabcbada0a2cdcf9c5954ebf5ea88c
adventure-u10-3-model,model,combined,mixed,Who's this? B: It's my mom. / It's my friend.,assets/audio/generated/03_model_model.mp3,5884c10074c2fbecb6e45b7bb7d842a6f9be1cab493d7f2d33e6a624774a903c
adventure-u10-4-1,model,Model,en-US-AnaNeural,This is my friend.,assets/audio/generated/04_model_01.mp3,0f5f5aa31ba8ab9ab64d5095fc00eab062d199921a0d671e15cd4fdbbf37788e
adventure-u10-4-2,model,Toto,en-GB-MaisieNeural,This is Toto.,assets/audio/generated/04_model_02.mp3,030b1c71375de3a41106e186ac47a081b5e51ba29d1e570afd70c768189d448b
adventure-u10-4-3,model,Model,en-US-AnaNeural,This is my dog.,assets/audio/generated/04_model_03.mp3,f3a8858c88f4bb0656240e646d15390c1c51d45053ced6d20b87602dd9ca56e0
adventure-u10-4-model,model,combined,mixed,This is my friend. / This is Toto. / This is my dog.,assets/audio/generated/04_model_model.mp3,f30077244c966e37eedd4537970d13398bb69de1ce4d055e9507e850840470c0
adventure-u10-5-1,model,Model,en-US-AnaNeural,This is my mom.,assets/audio/generated/05_model_01.mp3,829b0db0ff630012684427e439b7c4f181ceefbcbfb8c76a6458197315044d16
adventure-u10-5-2,model,Model,en-US-AnaNeural,This is my dad.,assets/audio/generated/05_model_02.mp3,41e85aa75bb86b79db82a004aa3d56e214557ebb127c11d480ebeb34824a872d
