section,likely_error,repair_hint,support_image_ids,retry_action,portfolio_link
Unit Opener,word/phrase confusion,"Use a card first, then choose one short line.",IMG01,"look at card, use phrase bank, try again",Project poster + 3 voice lines
Lesson 1,word/phrase confusion,Match picture to word again. Say only the word first.,"IMG02, IMG03","look at card, use phrase bank, try again",Choose words for poster cards
Lesson 2,word/phrase confusion,"Start with This is my, then add one card word.","IMG04, IMG05","look at card, use phrase bank, try again",Poster sentence frame
Lesson 3,word/phrase confusion,Question: Who's this? Answer: It's my ___.,"IMG06, IMG07","look at card, use phrase bank, try again",Poster show-and-tell Q&A
Lesson 4,word/phrase confusion,"If you do not want to use a family card, use a friend card.","IMG08, IMG09","look at card, use phrase bank, try again",Inclusive poster choice
Lesson 5,word/phrase confusion,"Read the picture first, then read the line.","IMG10, IMG11","look at card, use phrase bank, try again",Read poster lines before speaking
Lesson 6,word/phrase confusion,Use the phrase bank. Do not write long sentences.,"IMG12, IMG13","look at card, use phrase bank, try again",Draft poster labels
Lesson 7,word/phrase confusion,"Use 3 lines, clear voice, and smile.","IMG14, IMG15","look at card, use phrase bank, try again",Final voice/presentation
Watch,word/phrase confusion,Replay with captions. Match each caption to a picture.,IMG16–IMG20,"look at card, use phrase bank, try again",Watch story supports final project
Final Project,word/phrase confusion,"Check: 3 lines, clear voice, smile. Use the phrase bank if needed.",IMG21–IMG24,"look at card, use phrase bank, try again",Poster + voice lines
