audio_id,filename,section,title,type,text_source,status,notes
u010_opener_situation,u010_opener_situation.mp3,Unit Opener,Family Tree Mission,block-level placeholder,This is my mom. / This is my friend. / This is Toto.,placeholder; audio to be added later,No generated audio included in this package.
u010_l1_family_words,u010_l1_family_words.mp3,Lesson 1,Family Words,block-level placeholder,mom / dad / sister / brother / grandma / grandpa / friend / dog,placeholder; audio to be added later,No generated audio included in this package.
u010_l2_this_is_my_model,u010_l2_this_is_my_model.mp3,Lesson 2,This Is My...,block-level placeholder,This is my mom. / This is my dad. / This is my friend. / This is my dog.,placeholder; audio to be added later,No generated audio included in this package.
u010_l3_whos_this_dialogue,u010_l3_whos_this_dialogue.mp3,Lesson 3,Who's This?,block-level placeholder,A: Who's this? B: It's my mom. / It's my friend.,placeholder; audio to be added later,No generated audio included in this package.
u010_l4_family_friend_model,u010_l4_family_friend_model.mp3,Lesson 4,Family and Friends,block-level placeholder,This is my friend. / This is Toto. / This is my dog.,placeholder; audio to be added later,No generated audio included in this package.
u010_l5_mini_reading,u010_l5_mini_reading.mp3,Lesson 5,Read a Mini Tree,block-level placeholder,This is my mom. / This is my dad. / This is my friend. / This is Toto.,placeholder; audio to be added later,No generated audio included in this package.
u010_l6_project_phrase_bank,u010_l6_project_phrase_bank.mp3,Lesson 6,Make a Picture Tree,block-level placeholder,This is my ___. / Who's this? / It's my ___.,placeholder; audio to be added later,No generated audio included in this package.
u010_l7_say_and_show_model,u010_l7_say_and_show_model.mp3,Lesson 7,Say and Show,block-level placeholder,Hello. This is my mom. This is my friend. This is Toto.,placeholder; audio to be added later,No generated audio included in this package.
u010_watch_totos_photo_tree,u010_watch_totos_photo_tree.mp3,Watch,Toto's Photo Tree,block-level placeholder,This is my mom. / Who's this? / It's my friend. / This is Toto. / This is my tree.,placeholder; audio to be added later,No generated audio included in this package.
u010_project_model,u010_project_model.mp3,Final Project,My Family/Friend Poster,block-level placeholder,This is my mom. / This is my friend. / This is Toto.,placeholder; audio to be added later,No generated audio included in this package.
