course,unit,cefr_band,section,can_do,kp_target,lesson_input,practice_ids,image_ids,repair_link,portfolio_link
Adventure English World V2,10,Pre-A1.2,Unit Opener,I can introduce family or friends with simple phrases.,family/friend words; This is my ___; Who's this?; It's my ___,"Leo, Mia, Emma, and Toto find photo cards. They make a friendly tree poster. You can use family cards or friend cards.",,IMG01,"Use a card first, then choose one short line.",Project poster + 3 voice lines
Adventure English World V2,10,Pre-A1.2,Lesson 1,I can recognize family and friend words.,family/friend words; This is my ___; Who's this?; It's my ___,"Look at the word cards. Listen and point: mom, dad, sister, brother, grandma, grandpa, friend, dog.",AEW2-U010-L1-Q01 to AEW2-U010-L1-Q12,"IMG02, IMG03",Match picture to word again. Say only the word first.,Choose words for poster cards
Adventure English World V2,10,Pre-A1.2,Lesson 2,I can say This is my... with a photo card.,family/friend words; This is my ___; Who's this?; It's my ___,Mia shows a card. Leo listens. Use the frame: This is my ___.,AEW2-U010-L2-Q01 to AEW2-U010-L2-Q12,"IMG04, IMG05","Start with This is my, then add one card word.",Poster sentence frame
Adventure English World V2,10,Pre-A1.2,Lesson 3,I can ask and answer Who's this?,family/friend words; This is my ___; Who's this?; It's my ___,Leo points to a mystery card. Mia answers with a short line.,AEW2-U010-L3-Q01 to AEW2-U010-L3-Q12,"IMG06, IMG07",Question: Who's this? Answer: It's my ___.,Poster show-and-tell Q&A
Adventure English World V2,10,Pre-A1.2,Lesson 4,I can introduce a friend or Toto.,family/friend words; This is my ___; Who's this?; It's my ___,Emma shows a friend card. You can make a poster with family cards or friend cards.,AEW2-U010-L4-Q01 to AEW2-U010-L4-Q12,"IMG08, IMG09","If you do not want to use a family card, use a friend card.",Inclusive poster choice
Adventure English World V2,10,Pre-A1.2,Lesson 5,I can read very short family/friend lines.,family/friend words; This is my ___; Who's this?; It's my ___,Read the big cards: This is my mom. This is my dad. This is my friend.,AEW2-U010-L5-Q01 to AEW2-U010-L5-Q12,"IMG10, IMG11","Read the picture first, then read the line.",Read poster lines before speaking
Adventure English World V2,10,Pre-A1.2,Lesson 6,I can plan my family/friend poster.,family/friend words; This is my ___; Who's this?; It's my ___,Choose 3 or 4 cards. Put them on a tree poster. Copy or choose the sentence frame.,AEW2-U010-L6-Q01 to AEW2-U010-L6-Q12,"IMG12, IMG13",Use the phrase bank. Do not write long sentences.,Draft poster labels
Adventure English World V2,10,Pre-A1.2,Lesson 7,I can show my poster and say 3–4 lines.,family/friend words; This is my ___; Who's this?; It's my ___,Mia shows her poster. Leo and Emma listen. Toto sits near the poster.,AEW2-U010-L7-Q01 to AEW2-U010-L7-Q12,"IMG14, IMG15","Use 3 lines, clear voice, and smile.",Final voice/presentation
Adventure English World V2,10,Pre-A1.2,Watch,I can understand a short family/friend story.,family/friend words; This is my ___; Who's this?; It's my ___,Watch a short silent/captioned story. Toto finds photo cards. The team makes a tree poster.,AEW2-U010-W-Q01 to AEW2-U010-W-Q12,IMG16–IMG20,Replay with captions. Match each caption to a picture.,Watch story supports final project
Adventure English World V2,10,Pre-A1.2,Final Project,I can make and present a poster.,family/friend words; This is my ___; Who's this?; It's my ___,"Make a poster with 3 or 4 cards. Use family cards, friend cards, or Toto. Say your lines.",AEW2-U010-P-Q01 to AEW2-U010-P-Q12,IMG21–IMG24,"Check: 3 lines, clear voice, smile. Use the phrase bank if needed.",Poster + voice lines
