Item_ID,Section,Correct_Answer,Feedback
AEW2-U010-L1-Q01,Lesson 1,mom,Correct. The woman/mom card is mom.
AEW2-U010-L1-Q02,Lesson 1,dad,Correct. The man/dad card is dad.
AEW2-U010-L1-Q03,Lesson 1,sister,Correct. The girl child card is sister.
AEW2-U010-L1-Q04,Lesson 1,brother,Correct. The boy child card is brother.
AEW2-U010-L1-Q05,Lesson 1,grandma,Correct. The older woman card is grandma.
AEW2-U010-L1-Q06,Lesson 1,grandpa,Correct. The older man card is grandpa.
AEW2-U010-L1-Q07,Lesson 1,friend,Correct. The teammate card is friend.
AEW2-U010-L1-Q08,Lesson 1,dog,Correct. The Toto card is dog.
AEW2-U010-L1-Q09,Lesson 1,mom = woman card; dad = man card,Correct. Mom and dad are family word cards.
AEW2-U010-L1-Q10,Lesson 1,dad card,Correct. Dad is the dad card.
AEW2-U010-L1-Q11,Lesson 1,True,Correct. Toto is a dog.
AEW2-U010-L1-Q12,Lesson 1,friend card,Correct. Friend is the teammate card.
AEW2-U010-L2-Q01,Lesson 2,mom,Correct. This is my mom.
AEW2-U010-L2-Q02,Lesson 2,This is my dad.,Correct. Use This is my + dad.
AEW2-U010-L2-Q03,Lesson 2,This is my friend.,Correct. Friend uses the same frame.
AEW2-U010-L2-Q04,Lesson 2,This is my dog.,Correct. Toto is a dog.
AEW2-U010-L2-Q05,Lesson 2,This is my mom.,Correct. Use This is my.
AEW2-U010-L2-Q06,Lesson 2,This / is / my / dad.,Correct. This is my dad.
AEW2-U010-L2-Q07,Lesson 2,mom → This is my mom.; dad → This is my dad.,Correct. Each card matches its word.
AEW2-U010-L2-Q08,Lesson 2,my,Correct. The frame is This is my.
AEW2-U010-L2-Q09,Lesson 2,This is my mom. This is my dad.,Correct. The lines match mom and dad.
AEW2-U010-L2-Q10,Lesson 2,friend,Correct. This is my friend.
AEW2-U010-L2-Q11,Lesson 2,This is my dad.,Correct. It is a full sentence.
AEW2-U010-L2-Q12,Lesson 2,This is my dog.,Correct. Toto is a dog.
AEW2-U010-L3-Q01,Lesson 3,Who’s this?,Correct. Who’s this? is the question.
AEW2-U010-L3-Q02,Lesson 3,It’s my mom.,Correct. Use It’s my + word.
AEW2-U010-L3-Q03,Lesson 3,It’s my dad.,Correct. It’s my dad.
AEW2-U010-L3-Q04,Lesson 3,It’s my friend.,Correct. It’s my friend.
AEW2-U010-L3-Q05,Lesson 3,It’s my dog.,Correct. It’s my dog.
AEW2-U010-L3-Q06,Lesson 3,Who’s this? → It’s my dad.,"Correct. Ask first, answer second."
AEW2-U010-L3-Q07,Lesson 3,a question,Correct. Who’s this? asks about a card.
AEW2-U010-L3-Q08,Lesson 3,It’s my friend.,Correct. It’s my friend is an answer.
AEW2-U010-L3-Q09,Lesson 3,my,Correct. It’s my mom.
AEW2-U010-L3-Q10,Lesson 3,True,Correct. It asks about a person/card.
AEW2-U010-L3-Q11,Lesson 3,Who’s this? → It’s my sister.,Correct. The answer uses It’s my.
AEW2-U010-L3-Q12,Lesson 3,A: Who’s this? B: It’s my dog.,Correct. The question and answer match.
AEW2-U010-L4-Q01,Lesson 4,family,Correct. Mom is a family word.
AEW2-U010-L4-Q02,Lesson 4,family,Correct. Dad is a family word.
AEW2-U010-L4-Q03,Lesson 4,friend,Correct. Friend goes with friend.
AEW2-U010-L4-Q04,Lesson 4,dog,Correct. Toto is a dog.
AEW2-U010-L4-Q05,Lesson 4,This is my friend.,Correct. Use friend for a teammate card.
AEW2-U010-L4-Q06,Lesson 4,a friend card,Correct. You can use a friend card.
AEW2-U010-L4-Q07,Lesson 4,"mom, dad, sister, brother",Correct. These are family words.
AEW2-U010-L4-Q08,Lesson 4,mom + dad → family,Correct. Mom and dad go in family.
AEW2-U010-L4-Q09,Lesson 4,friend card → friend,Correct. Friend card goes in the friend column.
AEW2-U010-L4-Q10,Lesson 4,True,Correct. Family or friend cards are okay.
AEW2-U010-L4-Q11,Lesson 4,robot,"Correct. Robot is from toys, not Unit 10."
AEW2-U010-L4-Q12,Lesson 4,This is my friend.,Correct. Use This is my friend.
AEW2-U010-L5-Q01,Lesson 5,mom card,Correct. The sentence says mom.
AEW2-U010-L5-Q02,Lesson 5,dad card,Correct. The sentence says dad.
AEW2-U010-L5-Q03,Lesson 5,friend card,Correct. The sentence says friend.
AEW2-U010-L5-Q04,Lesson 5,Toto/dog card,Correct. Toto is the dog.
AEW2-U010-L5-Q05,Lesson 5,True,Correct. The picture and sentence match.
AEW2-U010-L5-Q06,Lesson 5,False,Correct. Dad is not friend.
AEW2-U010-L5-Q07,Lesson 5,This is my friend.,Correct. Friend is in the line.
AEW2-U010-L5-Q08,Lesson 5,This,Correct. The sentence starts with This.
AEW2-U010-L5-Q09,Lesson 5,.,Correct. This line ends with a period.
AEW2-U010-L5-Q10,Lesson 5,3,Correct. There are three lines/cards.
AEW2-U010-L5-Q11,Lesson 5,dog,Correct. Toto is a dog.
AEW2-U010-L5-Q12,Lesson 5,My Family and Friends,Correct. The reading is about family and friends.
AEW2-U010-L6-Q01,Lesson 6,photo cards,Correct. Use photo cards on the poster.
AEW2-U010-L6-Q02,Lesson 6,This is my mom.,Correct. It is a clear project line.
AEW2-U010-L6-Q03,Lesson 6,Who’s this?,Correct. Who’s this? is the question.
AEW2-U010-L6-Q04,Lesson 6,friend,Correct. It’s my friend.
AEW2-U010-L6-Q05,Lesson 6,dog,Correct. Toto is a dog.
AEW2-U010-L6-Q06,Lesson 6,friend card,Correct. A friend card is okay.
AEW2-U010-L6-Q07,Lesson 6,Choose cards → put on tree → say lines,Correct. This is the simple project order.
AEW2-U010-L6-Q08,Lesson 6,True,Correct. Use 3 or 4 cards.
AEW2-U010-L6-Q09,Lesson 6,blue,"Correct. Blue is a color, not a poster person/card word."
AEW2-U010-L6-Q10,Lesson 6,my,Correct. This is my friend.
AEW2-U010-L6-Q11,Lesson 6,"3 lines, clear voice, smile",Correct. This is the self-check.
AEW2-U010-L6-Q12,Lesson 6,This is Toto.,Correct. Use This is Toto.
AEW2-U010-L7-Q01,Lesson 7,Hello.,Correct. Hello starts the presentation.
AEW2-U010-L7-Q02,Lesson 7,This is my mom.,Correct. This matches the mom card.
AEW2-U010-L7-Q03,Lesson 7,This is my friend.,Correct. This matches the friend card.
AEW2-U010-L7-Q04,Lesson 7,This is Toto.,Correct. This line introduces Toto.
AEW2-U010-L7-Q05,Lesson 7,clear voice,Correct. Use a clear voice.
AEW2-U010-L7-Q06,Lesson 7,3 lines,Correct. Three simple lines are enough.
AEW2-U010-L7-Q07,Lesson 7,smile,Correct. A smile helps show confidence.
AEW2-U010-L7-Q08,Lesson 7,Hello. → This is my mom. → This is my friend.,"Correct. Start with Hello, then show cards."
AEW2-U010-L7-Q09,Lesson 7,hide,Correct. Hide is not a good presentation check.
AEW2-U010-L7-Q10,Lesson 7,It’s my friend.,Correct. That answers the question.
AEW2-U010-L7-Q11,Lesson 7,poster + voice lines,Correct. Show the poster and say your lines.
AEW2-U010-L7-Q12,Lesson 7,True,Correct. Friend cards are okay.
AEW2-U010-W-Q01,Watch,photo cards,Correct. Toto finds photo cards.
AEW2-U010-W-Q02,Watch,a blank tree poster,Correct. The tree poster is ready.
AEW2-U010-W-Q03,Watch,mom,Correct. Leo shows a mom card.
AEW2-U010-W-Q04,Watch,This is my mom.,Correct. The caption matches Leo’s card.
AEW2-U010-W-Q05,Watch,Who’s this?,Correct. Mia asks Who’s this?
AEW2-U010-W-Q06,Watch,Emma,Correct. Emma thinks about the answer.
AEW2-U010-W-Q07,Watch,friend,Correct. Emma shows a friend card.
AEW2-U010-W-Q08,Watch,It’s my friend.,Correct. It’s my friend.
AEW2-U010-W-Q09,Watch,a tree poster,Correct. They finish a tree poster.
AEW2-U010-W-Q10,Watch,Toto finds cards → Leo says mom → Mia asks → Emma says friend → poster is finished,Correct. That is the Watch story order.
AEW2-U010-W-Q11,Watch,friend,Correct. Friend is a Unit 10 word.
AEW2-U010-W-Q12,Watch,a family/friend poster,Correct. The Watch story helps the final project.
AEW2-U010-P-Q01,Project,My Family/Friend Poster,Correct. This is Unit 10’s project.
AEW2-U010-P-Q02,Project,This is my mom.,Correct. This line matches the mom card.
AEW2-U010-P-Q03,Project,This is my friend.,Correct. This line matches the friend card.
AEW2-U010-P-Q04,Project,This is Toto.,Correct. This line introduces Toto.
AEW2-U010-P-Q05,Project,my,Correct. Use my in the frame.
AEW2-U010-P-Q06,Project,Who’s this?,Correct. Who’s this? asks about a card.
AEW2-U010-P-Q07,Project,It’s my dad.,Correct. It’s my dad answers the question.
AEW2-U010-P-Q08,Project,This / is / my / friend.,Correct. This is my friend.
AEW2-U010-P-Q09,Project,True,Correct. Use 3 or 4 cards.
AEW2-U010-P-Q10,Project,clear voice,Correct. Use a clear voice.
AEW2-U010-P-Q11,Project,Look at the phrase bank.,Correct. The phrase bank helps.
AEW2-U010-P-Q12,Project,I can show my poster!,Correct. This is the end-of-unit evidence.
