image_id,filename,course,unit,lesson,image_type,characters,kp_link,lexical_link,quiz_link,display_width,alt_text,media_server_path,moodle_path,safety_check,clothing_check,political_check,notes
AEW2_U011_IMG01,AEW2_U011_IMG01_cover_weather_window.png,Adventure English World V2,11,Unit opener,cover,Leo; Mia; Emma; Toto as required by prompt,Unit identity; weather words; clothes choice,"sunny, rainy, windy, cloudy, coat, hat, boots, T-shirt, shoes, umbrella",linked in quiz_blueprint.csv,90-100%,Weather Window image for Cover: Unit opener. Supports Unit identity; weather words; clothes choice.,MediaServer/FLW/Adventure_English_World/Unit_011/images/AEW2_U011_IMG01_cover_weather_window.png,assets/images/AEW2_U011_IMG01_cover_weather_window.png,final accepted,final accepted,final accepted,"Regenerated after gate repair: no globe, no jeans/denim-style trousers."
AEW2_U011_IMG02,AEW2_U011_IMG02_unit_story_weather_window_scene.png,Adventure English World V2,11,Opening situation,unit story anchor,Leo; Mia; Emma; Toto as required by prompt,Unit story; weather window; choose clothes,"weather, window, clothes, choose, coat, hat, boots, T-shirt, umbrella",linked in quiz_blueprint.csv,80-90%,Weather Window image for Unit Story: Opening situation. Supports Unit story; weather window; choose clothes.,MediaServer/FLW/Adventure_English_World/Unit_011/images/AEW2_U011_IMG02_unit_story_weather_window_scene.png,assets/images/AEW2_U011_IMG02_unit_story_weather_window_scene.png,final accepted,final accepted,final accepted,Generated image requires final Content + Image Alignment Gate before Moodle HTML.
AEW2_U011_IMG03,AEW2_U011_IMG03_lesson1_meet_the_weather.png,Adventure English World V2,11,Meet the Weather,lesson anchor,Leo; Mia; Emma; Toto as required by prompt,"Weather words: sunny, rainy, windy, cloudy","sunny, rainy, windy, cloudy",linked in quiz_blueprint.csv,70-85%,"Weather Window image for Lesson 1: Meet the Weather. Supports Weather words: sunny, rainy, windy, cloudy.",MediaServer/FLW/Adventure_English_World/Unit_011/images/AEW2_U011_IMG03_lesson1_meet_the_weather.png,assets/images/AEW2_U011_IMG03_lesson1_meet_the_weather.png,final accepted,final accepted,final accepted,Generated image requires final Content + Image Alignment Gate before Moodle HTML.
AEW2_U011_IMG04,AEW2_U011_IMG04_lesson1_weather_visual.png,Adventure English World V2,11,Meet the Weather,vocabulary visual,no characters required,Weather recognition,"sunny, rainy, windy, cloudy",linked in quiz_blueprint.csv,60-75%,Weather Window image for Lesson 1: Meet the Weather. Supports Weather recognition.,MediaServer/FLW/Adventure_English_World/Unit_011/images/AEW2_U011_IMG04_lesson1_weather_visual.png,assets/images/AEW2_U011_IMG04_lesson1_weather_visual.png,final accepted,final accepted,final accepted,Generated image requires final Content + Image Alignment Gate before Moodle HTML.
AEW2_U011_IMG05,AEW2_U011_IMG05_lesson2_its_sunny_rainy_scene.png,Adventure English World V2,11,It’s Sunny / It’s Rainy,lesson anchor,Leo; Mia; Emma; Toto as required by prompt,It’s sunny; It’s rainy,"sunny, rainy, sun, rain",linked in quiz_blueprint.csv,70-85%,Weather Window image for Lesson 2: It’s Sunny / It’s Rainy. Supports It’s sunny; It’s rainy.,MediaServer/FLW/Adventure_English_World/Unit_011/images/AEW2_U011_IMG05_lesson2_its_sunny_rainy_scene.png,assets/images/AEW2_U011_IMG05_lesson2_its_sunny_rainy_scene.png,final accepted,final accepted,final accepted,Generated image requires final Content + Image Alignment Gate before Moodle HTML.
AEW2_U011_IMG06,AEW2_U011_IMG06_lesson2_sunny_rainy_choice_visual.png,Adventure English World V2,11,It’s Sunny / It’s Rainy,choice visual,Leo; Mia; Emma; Toto as required by prompt,Sunny/rainy clothes choice,"sunny, rainy, hat, T-shirt, boots, coat, umbrella",linked in quiz_blueprint.csv,60-75%,Weather Window image for Lesson 2: It’s Sunny / It’s Rainy. Supports Sunny/rainy clothes choice.,MediaServer/FLW/Adventure_English_World/Unit_011/images/AEW2_U011_IMG06_lesson2_sunny_rainy_choice_visual.png,assets/images/AEW2_U011_IMG06_lesson2_sunny_rainy_choice_visual.png,final accepted,final accepted,final accepted,Generated image requires final Content + Image Alignment Gate before Moodle HTML.
AEW2_U011_IMG07,AEW2_U011_IMG07_lesson3_its_windy_cloudy_scene.png,Adventure English World V2,11,It’s Windy / It’s Cloudy,lesson anchor,Leo; Mia; Emma; Toto as required by prompt,It’s windy; It’s cloudy,"windy, cloudy, leaves, clouds",linked in quiz_blueprint.csv,70-85%,Weather Window image for Lesson 3: It’s Windy / It’s Cloudy. Supports It’s windy; It’s cloudy.,MediaServer/FLW/Adventure_English_World/Unit_011/images/AEW2_U011_IMG07_lesson3_its_windy_cloudy_scene.png,assets/images/AEW2_U011_IMG07_lesson3_its_windy_cloudy_scene.png,final accepted,final accepted,final accepted,Generated image requires final Content + Image Alignment Gate before Moodle HTML.
AEW2_U011_IMG08,AEW2_U011_IMG08_lesson3_weather_window_visual.png,Adventure English World V2,11,It’s Windy / It’s Cloudy,weather visual,Leo; Mia; Emma; Toto as required by prompt,Windy/cloudy recognition,"windy, cloudy, leaves, window",linked in quiz_blueprint.csv,60-75%,Weather Window image for Lesson 3: It’s Windy / It’s Cloudy. Supports Windy/cloudy recognition.,MediaServer/FLW/Adventure_English_World/Unit_011/images/AEW2_U011_IMG08_lesson3_weather_window_visual.png,assets/images/AEW2_U011_IMG08_lesson3_weather_window_visual.png,final accepted,final accepted,final accepted,Generated image requires final Content + Image Alignment Gate before Moodle HTML.
AEW2_U011_IMG09,AEW2_U011_IMG09_lesson4_clothes_words_scene.png,Adventure English World V2,11,Clothes Basics,lesson anchor,Leo; Mia; Emma; Toto as required by prompt,Clothes words,"coat, hat, boots, T-shirt, shoes, umbrella, jacket, sweater",linked in quiz_blueprint.csv,70-85%,Weather Window image for Lesson 4: Clothes Basics. Supports Clothes words.,MediaServer/FLW/Adventure_English_World/Unit_011/images/AEW2_U011_IMG09_lesson4_clothes_words_scene.png,assets/images/AEW2_U011_IMG09_lesson4_clothes_words_scene.png,final accepted,final accepted,final accepted,Regenerated and restored after missing asset gate failure.
AEW2_U011_IMG10,AEW2_U011_IMG10_lesson4_clothes_choice_visual.png,Adventure English World V2,11,Clothes Basics,vocabulary visual,no characters required,Clothes recognition,"coat, hat, boots, T-shirt, shoes, umbrella, sweater",linked in quiz_blueprint.csv,60-75%,Weather Window image for Lesson 4: Clothes Basics. Supports Clothes recognition.,MediaServer/FLW/Adventure_English_World/Unit_011/images/AEW2_U011_IMG10_lesson4_clothes_choice_visual.png,assets/images/AEW2_U011_IMG10_lesson4_clothes_choice_visual.png,final accepted,final accepted,final accepted,Generated image requires final Content + Image Alignment Gate before Moodle HTML.
AEW2_U011_IMG11,AEW2_U011_IMG11_lesson5_choose_clothes_scene.png,Adventure English World V2,11,Choose Clothes,lesson anchor,Leo; Mia; Emma; Toto as required by prompt,Choose clothes for weather,"choose, clothes, rain, coat, boots, umbrella",linked in quiz_blueprint.csv,70-85%,Weather Window image for Lesson 5: Choose Clothes. Supports Choose clothes for weather.,MediaServer/FLW/Adventure_English_World/Unit_011/images/AEW2_U011_IMG11_lesson5_choose_clothes_scene.png,assets/images/AEW2_U011_IMG11_lesson5_choose_clothes_scene.png,final accepted,final accepted,final accepted,Generated image requires final Content + Image Alignment Gate before Moodle HTML.
AEW2_U011_IMG12,AEW2_U011_IMG12_lesson5_weather_clothes_choice_scene.png,Adventure English World V2,11,Choose Clothes,choice scene,Leo; Mia; Emma; Toto as required by prompt,Choose clothes for weather,"sunny day, rainy day, windy day, cloudy day, clothes",linked in quiz_blueprint.csv,70-85%,Weather Window image for Lesson 5: Choose Clothes. Supports Choose clothes for weather.,MediaServer/FLW/Adventure_English_World/Unit_011/images/AEW2_U011_IMG12_lesson5_weather_clothes_choice_scene.png,assets/images/AEW2_U011_IMG12_lesson5_weather_clothes_choice_scene.png,final accepted,final accepted,final accepted,Generated image requires final Content + Image Alignment Gate before Moodle HTML.
AEW2_U011_IMG13,AEW2_U011_IMG13_lesson6_help_a_friend_scene.png,Adventure English World V2,11,Help a Friend,role-play scene,Leo; Mia; Emma; Toto as required by prompt,Help a friend choose clothes,"help, friend, choose, coat, boots, umbrella",linked in quiz_blueprint.csv,70-85%,Weather Window image for Lesson 6: Help a Friend. Supports Help a friend choose clothes.,MediaServer/FLW/Adventure_English_World/Unit_011/images/AEW2_U011_IMG13_lesson6_help_a_friend_scene.png,assets/images/AEW2_U011_IMG13_lesson6_help_a_friend_scene.png,final accepted,final accepted,final accepted,Generated image requires final Content + Image Alignment Gate before Moodle HTML.
AEW2_U011_IMG14,AEW2_U011_IMG14_lesson6_dress_the_friend_visual.png,Adventure English World V2,11,Help a Friend,dress-choice visual,Leo; Mia; Emma; Toto as required by prompt,Choose clothes for a friend,"child, coat, boots, hat, shoes, umbrella",linked in quiz_blueprint.csv,60-75%,Weather Window image for Lesson 6: Help a Friend. Supports Choose clothes for a friend.,MediaServer/FLW/Adventure_English_World/Unit_011/images/AEW2_U011_IMG14_lesson6_dress_the_friend_visual.png,assets/images/AEW2_U011_IMG14_lesson6_dress_the_friend_visual.png,final accepted,final accepted,final accepted,Generated image requires final Content + Image Alignment Gate before Moodle HTML.
AEW2_U011_IMG15,AEW2_U011_IMG15_lesson6_weather_review_scene.png,Adventure English World V2,11,Mixed Review,review anchor,Leo; Mia; Emma; Toto as required by prompt,Mixed weather/clothes review,"weather clues, clothes choices, compare, choose",linked in quiz_blueprint.csv,70-85%,Weather Window image for Lesson 6: Mixed Review. Supports Mixed weather/clothes review.,MediaServer/FLW/Adventure_English_World/Unit_011/images/AEW2_U011_IMG15_lesson6_weather_review_scene.png,assets/images/AEW2_U011_IMG15_lesson6_weather_review_scene.png,final accepted,final accepted,final accepted,Accepted by user after gate review.
AEW2_U011_IMG16,AEW2_U011_IMG16_lesson7_project_rehearsal_scene.png,Adventure English World V2,11,Project Rehearsal,rehearsal scene,Leo; Mia; Emma; Toto as required by prompt,Weather choice card rehearsal,"weather clue, choose clothes, card, board",linked in quiz_blueprint.csv,70-85%,Weather Window image for Lesson 7: Project Rehearsal. Supports Weather choice card rehearsal.,MediaServer/FLW/Adventure_English_World/Unit_011/images/AEW2_U011_IMG16_lesson7_project_rehearsal_scene.png,assets/images/AEW2_U011_IMG16_lesson7_project_rehearsal_scene.png,final accepted,final accepted,final accepted,Generated image requires final Content + Image Alignment Gate before Moodle HTML.
AEW2_U011_IMG17,AEW2_U011_IMG17_lesson7_project_model_weather_choice_card.png,Adventure English World V2,11,Project Model,project model,Leo; Mia; Emma; Toto as required by prompt,Project model: My Weather Choice Card,"weather picture, clothes pictures, card",linked in quiz_blueprint.csv,70-90%,Weather Window image for Lesson 7: Project Model. Supports Project model: My Weather Choice Card.,MediaServer/FLW/Adventure_English_World/Unit_011/images/AEW2_U011_IMG17_lesson7_project_model_weather_choice_card.png,assets/images/AEW2_U011_IMG17_lesson7_project_model_weather_choice_card.png,final accepted,final accepted,final accepted,Generated image requires final Content + Image Alignment Gate before Moodle HTML.
AEW2_U011_IMG18,AEW2_U011_IMG18_repair_weather_visual.png,Adventure English World V2,11,Weather Repair,repair visual,Leo; Mia; Emma; Toto as required by prompt,Weather recognition repair,"sunny, rainy, windy, cloudy",linked in quiz_blueprint.csv,60-75%,Weather Window image for Repair: Weather Repair. Supports Weather recognition repair.,MediaServer/FLW/Adventure_English_World/Unit_011/images/AEW2_U011_IMG18_repair_weather_visual.png,assets/images/AEW2_U011_IMG18_repair_weather_visual.png,final accepted,final accepted,final accepted,Accepted by user after gate review.
AEW2_U011_IMG19,AEW2_U011_IMG19_repair_clothes_choice_visual.png,Adventure English World V2,11,Clothes Repair,repair visual,Leo; Mia; Emma; Toto as required by prompt,Clothes choice repair,"weather clues, coat, boots, hat, shoes, umbrella",linked in quiz_blueprint.csv,60-75%,Weather Window image for Repair: Clothes Repair. Supports Clothes choice repair.,MediaServer/FLW/Adventure_English_World/Unit_011/images/AEW2_U011_IMG19_repair_clothes_choice_visual.png,assets/images/AEW2_U011_IMG19_repair_clothes_choice_visual.png,final accepted,final accepted,final accepted,Accepted by user after gate review.
AEW2_U011_IMG20,AEW2_U011_IMG20_project_sharing_scene.png,Adventure English World V2,11,Project Sharing,sharing scene,Leo; Mia; Emma; Toto as required by prompt,Final project sharing,"weather choice cards, weather pictures, clothes pictures",linked in quiz_blueprint.csv,70-85%,Weather Window image for Final Project: Project Sharing. Supports Final project sharing.,MediaServer/FLW/Adventure_English_World/Unit_011/images/AEW2_U011_IMG20_project_sharing_scene.png,assets/images/AEW2_U011_IMG20_project_sharing_scene.png,final accepted,final accepted,final accepted,Generated image requires final Content + Image Alignment Gate before Moodle HTML.
