field,entry
Course,Adventure English World V2
Unit Number,5
Unit Title,Animal Friends
CEFR Band,Pre-A1.1
Can-do Goal,I can name animals and say what I like.
New KP,animal words; It’s a; I like; I don’t like
Review KP,"hello, goodbye, look, listen, point"
Blocked KP,"age, phone numbers, dates/time, family, geography, flags, grammar tables, animal abilities"
Practice Item Difficulty Mix,"recognition, matching, gap fill, sentence choice, simple ordering"
Portfolio Evidence,animal choice card and short speaking recording
Difficulty Audit Result,pass
