audio_id,section,character,voice,text,audio_file,sha256
adventure-u5-1-1,model,Model,en-US-AnaNeural,It’s a dog. It’s a cat. It’s a bird. It’s a fish.,assets/audio/generated/01_model_01.mp3,7459fbe1ce9b162acbba308201da0687f47e24dfd205015a158e98ef6bc4c8f2
adventure-u5-1-model,model,combined,mixed,It’s a dog. It’s a cat. It’s a bird. It’s a fish.,assets/audio/generated/01_model_model.mp3,7459fbe1ce9b162acbba308201da0687f47e24dfd205015a158e98ef6bc4c8f2
adventure-u5-2-1,model,Model,en-US-AnaNeural,It’s a rabbit. It’s a duck. It’s a frog. It’s a turtle.,assets/audio/generated/02_model_01.mp3,47693c00d043b85102c5585cfef0ad15443ed0226c34a918a58f532436a91779
adventure-u5-2-model,model,combined,mixed,It’s a rabbit. It’s a duck. It’s a frog. It’s a turtle.,assets/audio/generated/02_model_model.mp3,47693c00d043b85102c5585cfef0ad15443ed0226c34a918a58f532436a91779
adventure-u5-3-1,model,Model,en-US-AnaNeural,I like dogs.,assets/audio/generated/03_model_01.mp3,bc6ceb59f75c20927699356982b451dafe3051a906e49cdc80dd24537c20d15a
adventure-u5-3-2,model,Model,en-US-AnaNeural,I like cats.,assets/audio/generated/03_model_02.mp3,6ca784cf4f5584eb83661a4ebf00b30488563086a688c47f922872ff0d24ce91
adventure-u5-3-3,model,Model,en-US-AnaNeural,I like birds.,assets/audio/generated/03_model_03.mp3,f8a5bc2141eb9c461372df0677359497c26ea8bb2d12af4d0bf378d7f89c7299
adventure-u5-3-model,model,combined,mixed,I like dogs. / I like cats. / I like birds.,assets/audio/generated/03_model_model.mp3,d5e21847ce99e605b9eb7ce96b4ff5181cbf8a631d0abc6acb8e8b9a71b0600c
adventure-u5-4-1,model,Model,en-US-AnaNeural,I like dogs.,assets/audio/generated/04_model_01.mp3,bc6ceb59f75c20927699356982b451dafe3051a906e49cdc80dd24537c20d15a
adventure-u5-4-2,model,Model,en-US-AnaNeural,I don’t like frogs.,assets/audio/generated/04_model_02.mp3,546f600682d0ec738ae171cea457aac9172c35ac5db7c64824a184ae61c25399
adventure-u5-4-model,model,combined,mixed,I like dogs. / I don’t like frogs.,assets/audio/generated/04_model_model.mp3,9450795f0252fa1dd4de64088ec2e8ca53ae673ef0482d42e912a11c7914bdfc
adventure-u5-5-1,model,Model,en-US-AnaNeural,dog → cat → rabbit → duck,assets/audio/generated/05_model_01.mp3,cdc87870f3e51479636001dee1dc4b3ffc4c77af7ad5581af280c8526e3e92b0
adventure-u5-5-model,model,combined,mixed,dog → cat → rabbit → duck,assets/audio/generated/05_model_model.mp3,cdc87870f3e51479636001dee1dc4b3ffc4c77af7ad5581af280c8526e3e92b0
adventure-u5-6-1,model,Model,en-US-AnaNeural,dog.,assets/audio/generated/06_model_01.mp3,bec40920557c3a05acf827576bbaa80a6b51d66d1636dfc092cdeac3f24384f5
adventure-u5-6-2,model,Model,en-US-AnaNeural,It’s a dog.,assets/audio/generated/06_model_02.mp3,80d17d2eb62f79e8c6fb804e4322f6865786044f3b4b405a4bdfb42a59a4c211
adventure-u5-6-3,model,Model,en-US-AnaNeural,I like dogs.,assets/audio/generated/06_model_03.mp3,bc6ceb59f75c20927699356982b451dafe3051a906e49cdc80dd24537c20d15a
adventure-u5-6-model,model,combined,mixed,dog. / It’s a dog. / I like dogs.,assets/audio/generated/06_model_model.mp3,d7e7027329a03e6c87e669c76fb345a43fde9f6585b7918916f4757c1f1c2145
