field,entry
Course,Adventure English World V2
Unit Number,11
Unit Title,Weather Window
CEFR Band,Pre-A1.2
Micro-band,Pre-A1.2
Learner Age / Identity,children about 7-8; Adventure World core cast
Can-do Goal,I can say simple weather words and choose clothes.
New KP,weather words; clothes basics; It's ...; Choose ...
Review KP,"greetings, colors, numbers, classroom actions, animals, toys, body, snacks, family as light review"
Blocked KP,"seasons, months, temperature numbers, weather reports, extreme/disaster weather, weather maps, travel planning, health advice, money/prices, long paragraphs, would like, Can I have, advanced grammar"
Active Vocabulary Target,12 active words + 8 chunks
Receptive Vocabulary Target,6 support words
Expression Target,It's ...; Choose ...
Collocation Target,"sunny day, rainy day, weather choice card"
Discourse Target,picture-supported sequence only
Register Target,friendly classroom language
Pronunciation / Script Target,clear single words/chunks; placeholder audio
Reading Input Target,short words and one-sentence chunks
Listening / Watch Target,"about 45-60 seconds, simple repeated lines"
Speaking Output Target,one weather sentence + one choice chunk
Writing Output Target,picture card; optional copied words only
Practice Item Difficulty Mix,"mostly easy recognition, some medium matching/choice"
Watch Practice Focus,"main idea, weather details, clothes details, project connection"
Project Output Requirement,Weather Choice Card with one weather picture and matching clothes pictures
AI Feedback Categories,not required for Pre-A1; teacher checks task completion
Repair Path,"IMG18 weather repair, IMG19 clothes repair, chunk repeat"
Portfolio Evidence,My Weather Choice Card
Difficulty Audit Result,content/practice ready; final image alignment gate not run
