id,course,unit,section,lesson,type,difficulty,cefr_band,kp_target,lexical_target,question,option_a,option_b,option_c,option_d,correct_answer,feedback_correct,feedback_incorrect,repair_link
AEW2-U009-L1-Q01,Adventure English World V2,9,Lesson 1,Snack Words,mcq,easy,Pre-A1.2,VOC snack words,apple,Choose the apple.,apple,milk,juice,water,apple,Correct. Apple is a snack word.,Try again. Look for the red fruit.,AEW2-U009-Repair-VOC-01
AEW2-U009-L1-Q02,Adventure English World V2,9,Lesson 1,Snack Words,mcq,easy,Pre-A1.2,VOC snack words,banana,Choose the banana.,orange,banana,cookie,milk,banana,Correct. Banana is a snack word.,Try again. Look for the long yellow fruit.,AEW2-U009-Repair-VOC-01
AEW2-U009-L1-Q03,Adventure English World V2,9,Lesson 1,Snack Words,mcq,easy,Pre-A1.2,VOC snack words,orange,Choose the orange.,water,orange,bread,cookie,orange,Correct. Orange is a snack word.,Try again. Look for the round orange fruit.,AEW2-U009-Repair-VOC-01
AEW2-U009-L1-Q04,Adventure English World V2,9,Lesson 1,Snack Words,mcq,easy,Pre-A1.2,VOC snack words,sandwich,Choose the sandwich.,sandwich,juice,milk,apple,sandwich,Correct. Sandwich is a snack word.,Try again. Look for the bread snack.,AEW2-U009-Repair-VOC-01
AEW2-U009-L1-Q05,Adventure English World V2,9,Lesson 1,Snack Words,mcq,easy,Pre-A1.2,VOC snack words,cookie,Choose the cookie.,banana,cookie,water,orange,cookie,Correct. Cookie is a snack word.,Try again. Look for the small round snack.,AEW2-U009-Repair-VOC-01
AEW2-U009-L1-Q06,Adventure English World V2,9,Lesson 1,Snack Words,matching,easy,Pre-A1.2,VOC snack words,apple; banana; cookie,Match: apple / banana / cookie.,apple=red fruit; banana=yellow fruit; cookie=round snack,,,,apple=red fruit; banana=yellow fruit; cookie=round snack,Correct. The three snack words match.,Try again. Use the snack tray picture.,AEW2-U009-Repair-VOC-01
AEW2-U009-L1-Q07,Adventure English World V2,9,Lesson 1,Snack Words,gap_fill,easy,Pre-A1.2,VOC snack words,apple,Complete: This is an _____.,,,,,apple,Correct. This is an apple.,Try again. The red fruit is apple.,AEW2-U009-Repair-VOC-01
AEW2-U009-L1-Q08,Adventure English World V2,9,Lesson 1,Snack Words,gap_fill,easy,Pre-A1.2,VOC snack words,banana,Complete: This is a _____.,,,,,banana,Correct. This is a banana.,Try again. The long yellow fruit is banana.,AEW2-U009-Repair-VOC-01
AEW2-U009-L1-Q09,Adventure English World V2,9,Lesson 1,Snack Words,true_false,easy,Pre-A1.2,VOC snack/drink difference,sandwich; drink,A sandwich is a drink.,True,False,,,False,Correct. A sandwich is a snack.,Try again. A sandwich is food.,AEW2-U009-Repair-VOC-02
AEW2-U009-L1-Q10,Adventure English World V2,9,Lesson 1,Snack Words,mcq,easy,Pre-A1.2,VOC snack/drink difference,snack,Which one is a snack?,water,milk,juice,cookie,cookie,Correct. Cookie is a snack.,Try again. Choose the food word.,AEW2-U009-Repair-VOC-02
